ticker,panel,cap_tier
WFC,US,large
WELL,US,large
WST,US,large
WDC,US,large
WY,US,large
WSM,US,large
WMB,US,large
WTW,US,large
WDAY,US,large
WYNN,US,large
XEL,US,large
XYL,US,large
YUM,US,large
ZBRA,US,large
ZBH,US,large
ZTS,US,large
III.L,UK,large
ABDN.L,UK,large
ADM.L,UK,large
AAF.L,UK,large
ALW.L,UK,large
AAL.L,UK,large
ANTO.L,UK,large
ABF.L,UK,large
AZN.L,UK,large
AUTO.L,UK,large
AV.L,UK,large
BAB.L,UK,large
BA.L,UK,large
BARC.L,UK,large
BTRW.L,UK,large
BEZ.L,UK,large
BP.L,UK,large
BATS.L,UK,large
BLND.L,UK,large
BT-A.L,UK,large
BNZL.L,UK,large
BRBY.L,UK,large
CNA.L,UK,large
CCEP.L,UK,large
CCH.L,UK,large
CPG.L,UK,large
CCC.L,UK,large
CTEC.L,UK,large
CRDA.L,UK,large
DCC.L,UK,large
DGE.L,UK,large
DPLM.L,UK,large
EZJ.L,UK,large
EDV.L,UK,large
EXPN.L,UK,large
FCIT.L,UK,large
FRES.L,UK,large
GAW.L,UK,large
GLEN.L,UK,large
GSK.L,UK,large
HLN.L,UK,large
HLMA.L,UK,large
HSX.L,UK,large
HWDN.L,UK,large
HSBA.L,UK,large
ICG.L,UK,large
IGG.L,UK,large
IHG.L,UK,large
IMI.L,UK,large
IMB.L,UK,large
INF.L,UK,large
IAG.L,UK,large
ITRK.L,UK,large
INVP.L,UK,large
ITH.L,UK,large
JD.L,UK,large
BGEO.L,UK,large
KGF.L,UK,large
LAND.L,UK,large
LGEN.L,UK,large
LLOY.L,UK,large
LMP.L,UK,large
LSEG.L,UK,large
MNG.L,UK,large
MKS.L,UK,large
MRO.L,UK,large
MTLN.L,UK,large
NG.L,UK,large
NWG.L,UK,large
NXT.L,UK,large
PSON.L,UK,large
PSH.L,UK,large
PCT.L,UK,large
PRU.L,UK,large
RKT.L,UK,large
REL.L,UK,large
RTO.L,UK,large
RIO.L,UK,large
RR.L,UK,large
SGE.L,UK,large
SBRY.L,UK,large
SDR.L,UK,large
SMT.L,UK,large
SGRO.L,UK,large
SVT.L,UK,large
SHEL.L,UK,large
SMIN.L,UK,large
SN.L,UK,large
SPX.L,UK,large
SSE.L,UK,large
STAN.L,UK,large
SDLF.L,UK,large
STJ.L,UK,large
TSCO.L,UK,large
BBOX.L,UK,large
ULVR.L,UK,large
UU.L,UK,large
VOD.L,UK,large
WEIR.L,UK,large
WTB.L,UK,large
3IN.L,UK,mid
FOUR.L,UK,mid
AAS.L,UK,mid
ASL.L,UK,mid
AEP.L,UK,mid
ALFA.L,UK,mid
ATT.L,UK,mid
AO.L,UK,mid
APN.L,UK,mid
ASHM.L,UK,mid
AIE.L,UK,mid
ATYM.L,UK,mid
ATG.L,UK,mid
AGT.L,UK,mid
AVON.L,UK,mid
BME.L,UK,mid
BGFD.L,UK,mid
USA.L,UK,mid
BBY.L,UK,mid
BCG.L,UK,mid
BNKR.L,UK,mid
BAG.L,UK,mid
AJB.L,UK,mid
BWY.L,UK,mid
BKG.L,UK,mid
BHMG.L,UK,mid
BYG.L,UK,mid
BPCR.L,UK,mid
